,建案名稱,總價,格局/地坪,建坪,位置,網站,latitude,longitude
2866,翰傑悅光3,,91起,育平九街372巷189弄56-1號,育平九街372巷189弄56-1號,https://tainan.housetube.tw/25960,22.997122,120.166193
2867,大趨勢奇蹟,,63.3~67.1,安定區新吉里,安定區新吉里,https://tainan.housetube.tw/25946,23.0866022,120.20489226501797
2868,富貴圓緣,,35.7~39.9,位址:,龍潭街181號,https://tainan.housetube.tw/25938,23.0349058,120.2673653
2869,長遠金店,,35~36,位址:,西勢路229號,https://tainan.housetube.tw/25923,24.2430907,120.7063732
2870,新案,,未提供,未提供,未提供,https://tainan.housetube.tw/25906,34.2338993,135.177091
2871,輕井澤,,150起,安平路33巷3號,安平路33巷3號,https://tainan.housetube.tw/25901,22.9989762,120.1674551
2872,研良品2,,63~69,海佃路一段88巷,海佃路一段88巷,https://tainan.housetube.tw/25890,23.0221539,120.1926383
2873,賢隱二期,,50.9~56,蘇厝里8鄰345-11號,蘇厝里8鄰345-11號,https://tainan.housetube.tw/25889,25.059276,121.844879
2874,布拉格,,73.2~75.9,台南市安南區海佃路二段92巷8號,台南市安南區海佃路二段92巷8號,https://tainan.housetube.tw/25887,25.013379,121.455176
2875,三代居NO.9(民生+金華),,29.5~44.7,位址:,民生路．金華路口,https://tainan.housetube.tw/25841,23.181946,120.254043
2876,金城舞,,未提供,金華路．周武街,金華路．周武街,https://tainan.housetube.tw/25840,31.722039,119.8200001
2877,德和大邁6,,未提供,民權路（社內148-6號）,民權路（社內148-6號）,https://tainan.housetube.tw/25220,23.0773979,120.2796287
2878,德和大邁8,,位址:,社區,台南市善化區善化區建國路21號,https://tainan.housetube.tw/27113,23.1260498,120.2973058
2879,安平上府,,180起,建平九街60巷13弄30號,建平九街60巷13弄30號,https://tainan.housetube.tw/25832,22.9917186,120.1800129
2880,成功階,,未提供,台南市麻豆區成功街2-6號,台南市麻豆區成功街2-6號,https://tainan.housetube.tw/25826,24.990384,121.905284
2881,藝靜,,97~187,中華東路295巷,中華東路295巷,https://tainan.housetube.tw/25822,,
2882,好享居,,60~78,台南市麻豆區15-2號對面(麻豆視界眼鏡對面),台南市麻豆區15-2號對面(麻豆視界眼鏡對面),https://tainan.housetube.tw/25814,23.109964,120.301152
2883,公園富邑,,49.6~50.8,新營區太子路200巷,新營區太子路200巷,https://tainan.housetube.tw/24362,23.3031546,120.2947438
2884,皇家馬德里,,57.8~86.5,麻豆國小旁,麻豆國小旁,https://tainan.housetube.tw/25794,,
2885,生活家,,173起,永華八街337號,永華八街337號,https://tainan.housetube.tw/25791,,
2886,謙閱,,131起,德信街25號,德信街25號,https://tainan.housetube.tw/25790,22.964129,120.2364082
2887,禾川居,,位址:,社區,未提供,https://tainan.housetube.tw/25783,34.2338993,135.177091
2888,大禾川,,位址:,社區,未提供,https://tainan.housetube.tw/25782,34.2338993,135.177091
2889,大橋日光,,位址:,社區,未提供,https://tainan.housetube.tw/25781,34.2338993,135.177091
2890,東寧六悅,,位址:,社區,未提供,https://tainan.housetube.tw/25780,34.2338993,135.177091
2891,黃金比例,,位址:,社區,未提供,https://tainan.housetube.tw/25779,34.2338993,135.177091
2892,崑山日光,,位址:,社區,未提供,https://tainan.housetube.tw/25778,34.2338993,135.177091
2893,崇善鑫悅,,位址:,社區,未提供,https://tainan.housetube.tw/25777,34.2338993,135.177091
2894,君美東成,,位址:,…,未提供,https://tainan.housetube.tw/25776,34.2338993,135.177091
2895,君悅Ι,,位址:,社區,未提供,https://tainan.housetube.tw/25775,34.2338993,135.177091
2896,裕農首富(黃金後甲),,位址:,社區,未提供,https://tainan.housetube.tw/25774,34.2338993,135.177091
2897,君悅(Ⅲ),,位址:,最新推案,未提供,https://tainan.housetube.tw/25773,34.2338993,135.177091
2898,科技首府,,位址:,社區,未提供,https://tainan.housetube.tw/25772,34.2338993,135.177091
2899,極上君悦(君悦Ⅱ),,位址:,社區,未提供,https://tainan.housetube.tw/25771,34.2338993,135.177091
2900,東方首府,,位址:,,台南市仁德區中山路628巷7號,https://tainan.housetube.tw/25770,23.109964,120.301152
2901,科技首府,,位址:,社區,未提供,https://tainan.housetube.tw/25769,34.2338993,135.177091
2902,君悅(Ⅲ),,位址:,社區,未提供,https://tainan.housetube.tw/25768,34.2338993,135.177091
2903,雙禧園19,,61~80,台南市歸仁區國光街vs民權北路口,台南市歸仁區國光街vs民權北路口,https://tainan.housetube.tw/25752,,
2904,承家,,93~97,台南市安平區建平11街200號,台南市安平區建平11街200號,https://tainan.housetube.tw/25751,,
2905,宜群御品5,,未提供,位址:,德崙路91號,https://tainan.housetube.tw/25739,22.9455369,120.2538352
2906,緣聚8,,90起,湖美街87巷22號,湖美街87巷22號,https://tainan.housetube.tw/25723,23.0013446,120.1794347
2907,心觀止,,145,慈興10街27號,慈興10街27號,https://tainan.housetube.tw/25719,,
2908,戀家12,,66起,府安路五段,府安路五段,https://tainan.housetube.tw/25701,23.0209621,120.1934169
2909,好事公園墅,,未提供,建平13街123號,建平13街123號,https://tainan.housetube.tw/25697,,
2910,璞心苑,,265起,湖美街47巷9號,湖美街47巷9號,https://tainan.housetube.tw/25696,23.0002648,120.1798647
2911,御象6,,36起,位址:,崇德十八街28號,https://tainan.housetube.tw/25695,,
2912,創富,,65~97,富中街 富安七街,富中街 富安七街,https://tainan.housetube.tw/25694,23.083534,120.29418
2913,豪門宮廷御墅NO.2,,135起,建平17街59號旁,建平17街59號旁,https://tainan.housetube.tw/25692,,
2914,豪門首席歐式宮庭御墅,,76.6起,安平區育平九街372巷89弄75號,安平區育平九街372巷89弄75號,https://tainan.housetube.tw/25691,,
2915,成大.林森,,位址:,,林森路三段155號,https://tainan.housetube.tw/25681,,
2916,囍事多,,65~83,陽光二路37號,陽光二路37號,https://tainan.housetube.tw/25678,,
2917,侯爵帝寶III,,45.7起,位址:,府平路447號,https://tainan.housetube.tw/25677,,
2918,宗駿京硯,,145~145,台南市東區東門路三段,台南市東區東門路三段,https://tainan.housetube.tw/25674,22.97812,120.2333779
2919,年年如意75期,,60起,海東一街,海東一街,https://tainan.housetube.tw/25643,,
2920,芯邑,,未提供,士賢街,士賢街,https://tainan.housetube.tw/25641,23.277996,120.308907
